wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,deposit_amount,borrow_amount,repay_amount,redeem_amount,repayment_ratio,liquidation_ratio,activity_score,lifetime_days,score
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,2,0,0,0,0,32765.593476000002,0.0,0.0,0.0,0.0,0.0,0.02,0.0007638888888888889,504.0
0x0030ee334630838ea4dee0b4b6ecbc973529031f,8,7,1,0,0,4145000000000000.0,550000000003800.0,1806.279483,0.0,3.2841445145227643e-12,0.0,0.16,74.04144675925926,444.5
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1,0,0,0,0,1071184911359.4033,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00326e37cef76788f6b0cf643c94481d60bd3d58,2,0,0,0,0,30000000000000.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13056712962962963,504.0
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,179,154,148,42,0,2.052357968883094e+18,3.755628440003418e+18,4.338433215427061e+17,3.450285449372012e+17,0.11551816918883255,0.0,1.0,103.78547453703703,750.88
0x003325d3054cd7668fb16f19ea11bae6d02a474c,0,0,0,5,0,0.0,0.0,0.0,2005930.544632,0.0,0.0,0.05,6.745138888888889,410.0
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,59,45,21,37,0,5.283732265103469e+19,3.49646e+19,3.5002998465161114e+19,5.287255563412144e+19,1.0,0.0,1.0,24.534699074074073,973.91
0x0034d2a08772822866b08d2c585e5c8e25723760,1,0,0,0,0,476000000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,0,0,0,5,0,0.0,0.0,0.0,65486886280318.516,0.0,0.0,0.05,30.831481481481482,410.0
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,14,8,2,2,0,1404389958549610.0,333223362378678.06,913.894665,1723.511961,2.7425888103290964e-12,0.0,0.26,20.906643518518518,529.78
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1,0,0,0,0,10000000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0036534c48a754163f0f446601f36bcfda840f57,7,8,7,5,0,676473308845518.5,165000000001250.0,150042002092508.9,226469210462869.66,0.9093454672204377,0.0,0.27,12.879537037037037,724.9
0x00368bb9dba2ee83f3553feae59710b9c3743e09,9,1,0,1,0,600961657610252.0,500000000000000.0,0.0,199.852176,0.0,0.0,0.11,37.84740740740741,772.0
0x0036a2f1f6136bb9d7992f7def692126a279e702,1,0,0,0,0,3992596985.89263,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,9,14,14,6,0,1887527297712717.5,2020000000002401.0,1400214557616192.2,799995077584499.9,0.6931755235715484,0.0,0.43,56.22424768518518,720.35
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,4,2,2,4,0,1403638713202011.2,427498621551380.56,431110950454495.8,1400573418832501.5,1.0,0.0,0.12,70.08412037037037,823.78
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1,0,0,0,0,1.843331,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,3,0,0,6,0,49613.617891999995,0.0,0.0,49624.041277,0.0,0.0,0.09,49.79636574074074,718.0
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,7,13,0,7,1,38637062209435.06,63044034298413.18,0.0,15776377328972.969,0.0,0.07692307100591762,0.28,67.51701388888888,423.76
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1,0,0,0,0,1.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00389de87cae34a6f89e13cc8225c4984add8b37,328,100,76,106,0,1.4845529366995072e+18,1.2582207674541379e+18,1423714.8516670002,2.0911005927950748e+16,1.1315302437327593e-12,0.0,1.0,58.27695601851852,901.41
0x0039e71541bdc798d062346bce94230bf519bb72,1,1,0,0,0,32500000000.0,5000000000.0,0.0,0.0,0.0,0.0,0.02,0.0,354.0
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,2,0,0,4,0,9960000000008994.0,0.0,0.0,9000000000014994.0,0.0,0.0,0.06,2.7740046296296295,602.36
0x003a85c562730b196f7cba202a2515f2ff855736,131,22,12,12,0,3.9775195071961005e+17,5000000000323200.0,5000087055004990.0,6387591904815041.0,1.0,0.0,1.0,102.33961805555556,1000.0
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,4,5,4,0,0,1730000000000000.0,885.864724,886.027497,0.0,1.0,0.0,0.13,2.3327662037037036,659.33
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2,0,0,0,0,2.105972,0.0,0.0,0.0,0.0,0.0,0.02,5.004212962962963,504.0
